# seL4 / l4v build timings — canonical TUNED rebuild
# Generated: 2026-05-12T11:11:55-04:00
# Environment:
#   container:    sel4-l4v  (image sel4-public:tuned, id 8e7ee430544e)
#   l4v HEAD:     00d9073f70d064b31b4b1fad8a0e7086bb258007  (tags/seL4-13.0.0)
#   isabelle:     Isabelle2024 + Poly/ML 5.9.1 (32-on-64)
#   ML_OPTIONS:   -H 8000 --maxheap 16000 --stackspace 64  (image-baked, verified via isabelle getenv)
#   threads:      8 intra-session
#   parallelism:  -j 1 strict serial; per-session docker exec invocation
#   drop_caches:  NOT performed (sudo NOPASSWD not configured) — small-session wall noise ±3-5%
#   host:         16 cores, 23 GB RAM
#   heaps:        clean rebuild from empty /root/.isabelle/heaps/polyml-5.9.1_x86_64_32-linux
# Sessions: 29 sessions, topological order


====================================================================================================
SESSION OVERVIEW (29 sessions)
====================================================================================================

Session                  elapsed        cpu       gc  factor  theories  thy_elapsed    thy_cpu
----------------------------------------------------------------------------------------------
Pure                         1.5        1.5      0.3    1.01         3          1.2        1.2
HOL                        328.7     1024.1     51.7    3.12       114        459.7     1702.8
Word_Lib                    46.7      255.7      6.6    5.47        66         82.0      472.8
Simpl-VCG                   46.6      160.4      6.5    3.44        18         51.0      196.3
CParser                     67.1      269.9      7.1    4.03        35         73.6      294.2
UmmTypes                     3.6        3.5      0.0    0.99         1          3.5        3.4
ASpec                      171.8      311.1     12.1    1.81       107        273.2      714.8
DSpec                       85.1      219.3      6.9    2.58        83        177.2      592.2
AInvs                     1087.6     4968.6    242.0    4.57       119       1057.2     4953.0
Access                     453.7     1920.8     38.5    4.23        28        319.0     1532.0
BaseRefine                 239.5      340.5     13.2    1.42        63        287.3      468.2
Refine                    2121.0     9707.8    646.6    4.58        48       1787.5     9524.9
RefineOrphanage             72.7      149.1      1.5    2.05         1         47.2       82.0
DBaseRefine                 91.9      154.0      3.8    1.68        19         95.3      169.6
DRefine                    451.9     2689.4     29.1    5.95        18        170.9      946.0
DPolicy                    179.8      493.7      8.1    2.75         8         82.2      206.1
SepDSpec                    44.3      233.4      5.6    5.28        56        109.5      473.7
DSpecProofs                 64.8      340.6      4.2    5.26        12         27.8      120.0
InfoFlow                   961.5     3951.9    254.8    4.11        46        385.8     2055.0
Bisim                       27.8       60.4      0.8    2.17         6         27.7       59.9
CKernel                    905.7     3257.9    128.2    3.60        61        802.9     2469.0
CSpec                      258.6     1360.3     34.6    5.26         8        152.8      605.3
CBaseRefine               1322.5     5662.0    315.5    4.28        94       1206.4     4917.2
CRefine                   3689.1    16774.9   2261.2    4.55        51       1912.3     9521.0
CRefineSyscall               1.1        1.6      0.0    1.40         1          0.9        1.4
SimplExport                580.4      603.1      3.0    1.04         7        586.6      624.1
SimplExportAndRefine      2277.4    13677.1    562.9    6.01         8       2294.7    13747.0
InfoFlowCBase             1154.2     4943.0    197.2    4.28        70        673.9     3270.8
InfoFlowC                  831.9     2738.6     42.4    3.29         6        203.6     1129.2
----------------------------------------------------------------------------------------------
TOTAL                    17568.5    76274.4   4884.4              1157      13353.0    60853.3

====================================================================================================
PER-THEORY TIMINGS  (sorted by elapsed desc within each session)
====================================================================================================

--- Pure  (3 theories) ---
theory                                                elapsed(s)     cpu(s)     gc(s)
--------------------------------------------------------------------------------
Pure                                                   1.124     1.145     0.000
ML_Bootstrap                                           0.020     0.020     0.000
Pure.Sessions                                          0.008     0.008     0.000
--------------------------------------------------------------------------------
TOTAL                                                  1.152     1.173     0.000

--- HOL  (114 theories) ---
theory                                                elapsed(s)     cpu(s)     gc(s)
--------------------------------------------------------------------------------
HOL.Bit_Operations                                    31.328    90.417     2.724
HOL.Rings                                             26.906    55.104    11.008
HOL.Real_Vector_Spaces                                22.066    33.649     1.200
HOL.HOL                                               18.970    21.205     0.401
HOL.GCD                                               16.633    77.601     4.450
HOL.Topological_Spaces                                16.242    89.509     3.029
HOL.List                                              14.712    80.480     2.133
HOL.Archimedean_Field                                 12.178    65.908     2.391
HOL.Parity                                            11.927    33.757     0.606
HOL.Fields                                            10.583    16.454     1.093
HOL.BNF_Greatest_Fixpoint                              9.645    46.172     3.107
HOL.Limits                                             9.644    19.806     0.488
HOL.Nat                                                8.908    16.401     0.000
HOL.Euclidean_Rings                                    8.592    14.223     0.538
HOL.Transcendental                                     7.958    38.022     1.008
HOL.Nitpick                                            7.548    10.149     0.327
HOL.Metis                                              7.113    23.255     1.767
HOL.Set_Interval                                       6.840    36.559     1.455
HOL.Conditionally_Complete_Lattices                    6.713    38.545     1.001
HOL.SMT                                                6.644    37.472     1.455
HOL.Enum                                               6.511    36.643     1.670
HOL.String                                             5.463    23.314     0.533
HOL.Int                                                5.395    17.435     0.974
HOL.Presburger                                         5.384    31.179     1.001
HOL.Quotient                                           5.315    26.537     2.166
HOL.BNF_Fixpoint_Base                                  5.140     9.383     1.326
HOL.Quickcheck_Exhaustive                              5.011    28.511     1.708
HOL.Num                                                4.981    24.594     1.772
HOL.Quickcheck_Narrowing                               4.948    28.443     1.708
HOL.Groups_List                                        4.423    10.591     0.000
Tools.Code_Generator                                   4.357     4.446     0.049
HOL.Rat                                                4.335    25.332     0.638
HOL.ATP                                                4.246    29.839     2.124
HOL.Argo                                               4.092    11.500     0.898
HOL.Power                                              4.033    11.727     0.393
HOL.Product_Type                                       4.031    15.235     9.493
HOL.BNF_Def                                            3.895    20.006     2.235
HOL.Vector_Spaces                                      3.720    24.935     0.384
HOL.Groups_Big                                         3.702    10.259     0.760
HOL.Sledgehammer                                       3.598    18.606     0.179
HOL.BNF_Least_Fixpoint                                 3.501     4.609     0.000
HOL.Semiring_Normalization                             3.450    18.943     1.061
HOL.Groups                                             3.314     7.093     0.898
HOL.Predicate_Compile                                  3.303     7.902     0.788
HOL.Deriv                                              3.260    20.308     0.970
HOL.Meson                                              2.970     5.789     0.000
HOL.Divides                                            2.886    16.992     0.497
HOL.Complete_Lattices                                  2.868     8.353     0.000
HOL.Complex                                            2.748    12.194     0.550
HOL.Inductive                                          2.575     7.779     1.292
HOL.Finite_Set                                         2.570    15.290     1.244
HOL.Orderings                                          2.379     7.122     0.000
HOL.Lifting                                            2.277     7.497     0.000
HOL.Lattices_Big                                       2.263    10.269     0.000
HOL.Quickcheck_Random                                  2.234     8.222     0.730
HOL.Real                                               2.195    10.843     0.413
HOL.Fun_Def                                            2.131    10.607     0.712
HOL.Record                                             2.119     5.014     0.788
HOL.Lattices                                           2.069     2.902     0.000
HOL.Series                                             2.039    12.768     0.495
HOL.Relation                                           1.968     3.931     0.000
HOL.Extraction                                         1.954    12.165     0.712
Main                                                   1.883     1.954     0.000
HOL.Transitive_Closure                                 1.824    11.954     0.668
HOL.Factorial                                          1.791     8.861     0.722
HOL.Filter                                             1.767     9.846     0.581
HOL.Code_Numeral                                       1.748     6.817     0.388
HOL.Hilbert_Choice                                     1.716    11.419     0.948
HOL.Set                                                1.665     4.682     1.224
HOL.Transfer                                           1.607     3.342     0.417
HOL.Modules                                            1.602     9.689     0.401
HOL.Ctr_Sugar                                          1.582     5.257     0.000
HOL.Predicate                                          1.517     8.390     0.395
HOL.Groebner_Basis                                     1.450    10.165     0.000
HOL.Code_Evaluation                                    1.437     4.927     0.000
HOL.Fun                                                1.391     3.658     0.000
