method	lemma	line	session	verdict	accelerated	saved_ms	secs
dfs	rm_reads	439	InfoFlow	NO-PATH	None	None	64
dfs	dmo_user_memory_update_reads_respects_g	133	InfoFlow	NO-PATH	None	None	132
dfs	decode_cnode_invocation_rev	73	InfoFlow	NO-PATH	None	None	105
dfs	requiv_device_mem_eq	811	InfoFlow	NO-PATH	None	None	171
dfs	requiv_user_mem_eq	859	InfoFlow	NO-PATH	None	None	187
dfs	caps_of_state_init_A_st_Null	219	AInvs	NO-PATH	None	None	89
dfs	dmo_bind_ev'	93	InfoFlow	(noresult)	-	-	79
dfs	in_whileLoop_corres	361	Lib	PATH-FOUND	True	13274.5	367
dfs	SAC_partsSubjectAffects_exceptT	915	InfoFlow	NO-PATH	None	None	109
dfs	dmo_setExMonitor_reads_respects_g	913	InfoFlow	NO-PATH	None	None	97
dfs	is_derived_cap_arch_asid_issues	198	AInvs	NO-PATH	None	None	57
dfs	invoke_untyped_corres	1595	DRefine	INIT-FAIL	None	None	501
dfs	ntfn123_reads	742	InfoFlow	NO-PATH	None	None	86
dfs	cte_wp_at_weak_derived_domain_sep_inv_cap	230	Access	NO-PATH	None	None	73
dfs	gets_apply_ready_queues_reads_respects	523	InfoFlow	NO-PATH	None	None	90
dfs	decode_untyped_invocation_authorised	1197	Access	NO-PATH	None	None	46
dfs	dmo_device_state_update_reads_respects_g	151	InfoFlow	NO-PATH	None	None	44
dfs	invoke_cnode_reads_respects_f	248	InfoFlow	NO-PATH	None	None	103
dfs	abd_reads	183	InfoFlow	NO-PATH	None	None	79
dfs	abd_affects	241	InfoFlow	NO-PATH	None	None	67
dfs	cap_insert_pas_refined	1032	Access	NO-PATH	None	None	96
dfs	rm_affects	489	InfoFlow	NO-PATH	None	None	62
dfs	SAC_partsSubjectAffects_exceptT	921	InfoFlow	NO-PATH	None	None	96
dfs	empty_slot_pas_refined_transferable	1117	Access	NO-PATH	None	None	118
dfs	empty_slot_pas_refined	1103	Access	NO-PATH	None	None	262
dfs	transfer_caps_loop_reads_respects'	923	InfoFlow	(noresult)	-	-	188
dfs	tro_alt_trans_spec	647	Access	INIT-FAIL	None	None	502
dfs	transfer_caps_loop_reads_respects'	922	InfoFlow	(noresult)	-	-	223
dfs	send_sync_ipc_corres	2654	DRefine	INIT-FAIL	None	None	502
dfs	insert_cap_sibling_corres	255	DRefine	INIT-FAIL	None	None	501
dfs	insert_cap_child_corres	332	DRefine	INIT-FAIL	None	None	503
dfs	valid_pspace_s0	1414	InfoFlow	NO-PATH	None	None	475
dfs	valid_pspace_s0	1422	InfoFlow	NO-PATH	None	None	459
dfs	valid_pspace_s0	1418	InfoFlow	NO-PATH	None	None	383
dfs	valid_arch_caps_s0	1622	InfoFlow	NO-PATH	None	None	271
dfs	arm_asid_table_delete_ev2	872	InfoFlow	NO-PATH	None	None	320
dfs	Sys1AgentMap_simps	910	InfoFlow	NO-PATH	None	None	262
dfs	invoke_cnode_silc_inv	1825	InfoFlow	SERVER-DIED	None	None	270
dfs	cap_swap_silc_inv	943	InfoFlow	NO-PATH	None	None	132
dfs	retype_region_silc_inv	1889	InfoFlow	NO-PATH	None	None	297
dfs	blocked_cancel_ipc_invs	369	AInvs	NO-PATH	None	None	494
dfs	set_cap_slots_holding_overlapping_caps_other	666	InfoFlow	NO-PATH	None	None	187
dfs	reads_respects_scheduler_invisible_no_domain_switch	1721	InfoFlow	NO-PATH	None	None	279
dfs	retype_region_silc_inv	1914	InfoFlow	NO-PATH	None	None	398
dfs	retype_region_silc_inv	1919	InfoFlow	NO-PATH	None	None	333
