method	lemma	line	session	verdict	accelerated	saved_ms	secs
stateful	abd_affects	241	InfoFlow	TIMEOUT	None	None	701
blind	abd_affects	241	InfoFlow	TIMEOUT	None	None	701
stateful	SAC_partsSubjectAffects_exceptT	921	InfoFlow	TIMEOUT	None	None	701
blind	SAC_partsSubjectAffects_exceptT	921	InfoFlow	TIMEOUT	None	None	700
stateful	rm_affects	489	InfoFlow	TIMEOUT	None	None	701
blind	rm_affects	489	InfoFlow	TIMEOUT	None	None	701
stateful	empty_slot_pas_refined_transferable	1117	Access	TIMEOUT	None	None	701
blind	empty_slot_pas_refined_transferable	1117	Access	TIMEOUT	None	None	701
stateful	empty_slot_pas_refined	1103	Access	TIMEOUT	None	None	701
blind	empty_slot_pas_refined	1103	Access	TIMEOUT	None	None	701
stateful	insert_cap_child_corres	332	DRefine	TIMEOUT	None	None	700
blind	insert_cap_child_corres	332	DRefine	TIMEOUT	None	None	700
stateful	arm_asid_table_delete_ev2	872	InfoFlow	TIMEOUT	None	None	701
blind	arm_asid_table_delete_ev2	872	InfoFlow	TIMEOUT	None	None	700
stateful	Sys1AgentMap_simps	910	InfoFlow	TIMEOUT	None	None	700
blind	Sys1AgentMap_simps	910	InfoFlow	TIMEOUT	None	None	701
stateful	set_cap_slots_holding_overlapping_caps_other	666	InfoFlow	TIMEOUT	None	None	700
blind	set_cap_slots_holding_overlapping_caps_other	666	InfoFlow	TIMEOUT	None	None	700
stateful	retype_region_silc_inv	1914	InfoFlow	TIMEOUT	None	None	701
blind	retype_region_silc_inv	1914	InfoFlow	TIMEOUT	None	None	701
stateful	reads_respects_scheduler_invisible_no_domain_switch	1721	InfoFlow	TIMEOUT	None	None	701
blind	reads_respects_scheduler_invisible_no_domain_switch	1721	InfoFlow	TIMEOUT	None	None	700
stateful	retype_region_silc_inv	1919	InfoFlow	TIMEOUT	None	None	701
blind	retype_region_silc_inv	1919	InfoFlow	TIMEOUT	None	None	701
