method	lemma	line	session	verdict	accelerated	saved_ms	secs
reduce	rm_reads	439	InfoFlow	TIMEOUT	None	None	1200
reduce	requiv_device_mem_eq	811	InfoFlow	FASTER	True	1446.5	707
reduce	dmo_user_memory_update_reads_respects_g	133	InfoFlow	TIMEOUT	None	None	1201
reduce	decode_cnode_invocation_rev	73	InfoFlow	NO-PATH	None	None	357
reduce	requiv_user_mem_eq	859	InfoFlow	REACHED-B-NOT-FASTER	False	None	878
reduce	invoke_untyped_corres	1595	DRefine	NO-PATH	None	None	1201
reduce	in_whileLoop_corres	361	Lib	FASTER	True	4398.9	889
reduce	caps_of_state_init_A_st_Null	219	AInvs	NO-PATH	None	None	472
reduce	dmo_bind_ev'	93	InfoFlow	(noresult)	-	-	1201
reduce	SAC_partsSubjectAffects_exceptT	915	InfoFlow	NO-PATH	None	None	1200
reduce	dmo_setExMonitor_reads_respects_g	913	InfoFlow	NO-PATH	None	None	1201
reduce	is_derived_cap_arch_asid_issues	198	AInvs	FASTER	True	25244.4	495
reduce	ntfn123_reads	742	InfoFlow	FASTER	True	4991.0	1201
reduce	cte_wp_at_weak_derived_domain_sep_inv_cap	230	Access	ERROR	None	None	1056
reduce	gets_apply_ready_queues_reads_respects	523	InfoFlow	REACHED-B-NOT-FASTER	False	None	630
reduce	decode_untyped_invocation_authorised	1197	Access	ERROR	None	None	34
reduce	invoke_cnode_reads_respects_f	248	InfoFlow	REACHED-B-NOT-FASTER	False	None	613
reduce	abd_reads	183	InfoFlow	ERROR	None	None	1051
reduce	dmo_device_state_update_reads_respects_g	151	InfoFlow	ERROR	None	None	34
reduce	tro_alt_trans_spec	647	Access	ERROR	None	None	980
reduce	cap_insert_pas_refined	1032	Access	FASTER	True	2068.5	383
reduce	abd_affects	241	InfoFlow	FASTER	True	15138.1	268
reduce	SAC_partsSubjectAffects_exceptT	921	InfoFlow	REACHED-B-NOT-FASTER	False	None	426
reduce	rm_affects	489	InfoFlow	FASTER	True	19665.5	376
reduce	empty_slot_pas_refined_transferable	1117	Access	NO-PATH	None	None	1201
reduce	empty_slot_pas_refined	1103	Access	FASTER	True	21573.3	938
reduce	transfer_caps_loop_reads_respects'	923	InfoFlow	(noresult)	-	-	1115
reduce	send_sync_ipc_corres	2654	DRefine	REACHED-B-NOT-FASTER	False	None	887
reduce	insert_cap_sibling_corres	255	DRefine	ERROR	None	None	1106
reduce	transfer_caps_loop_reads_respects'	922	InfoFlow	(noresult)	-	-	793
reduce	insert_cap_child_corres	332	DRefine	FASTER	True	4330.4	1002
reduce	valid_pspace_s0	1414	InfoFlow	REACHED-B-NOT-FASTER	False	None	800
reduce	valid_pspace_s0	1422	InfoFlow	REACHED-B-NOT-FASTER	False	None	891
reduce	valid_pspace_s0	1418	InfoFlow	REACHED-B-NOT-FASTER	False	None	958
reduce	valid_arch_caps_s0	1622	InfoFlow	CHANNEL-FAIL	None	None	250
reduce	arm_asid_table_delete_ev2	872	InfoFlow	ERROR	None	None	1193
reduce	Sys1AgentMap_simps	910	InfoFlow	FASTER	True	2664.4	850
reduce	blocked_cancel_ipc_invs	369	AInvs	NO-PATH	None	None	1201
reduce	invoke_cnode_silc_inv	1825	InfoFlow	FASTER	True	3005.6	1200
reduce	retype_region_silc_inv	1889	InfoFlow	ERROR	None	None	1106
reduce	cap_swap_silc_inv	943	InfoFlow	FASTER	True	13690.6	529
reduce	set_cap_slots_holding_overlapping_caps_other	666	InfoFlow	NO-PATH	None	None	1201
reduce	retype_region_silc_inv	1914	InfoFlow	ERROR	None	None	176
reduce	reads_respects_scheduler_invisible_no_domain_switch	1721	InfoFlow	NO-PATH	None	None	1201
reduce	retype_region_silc_inv	1919	InfoFlow	ERROR	None	None	176
