# golden-baseline heap fingerprints
# captured 2026-05-29T18:35:41.264449+00:00
# format: <size_bytes>  <sha256>  <name>

   123386578  9a53ebea982b824dbd9b6f0d81df7e14d7d458abf32218d7e5ff5c50af2a4742  ASpec
   432503509  dad2c4cb30ffeacef882fe0d4a6750042e08be940ebcb6e8bdc85b3535a92ca8  CKernel
    47619699  7ae7dfc86373a9a2f43bb79b0ec62d381e30c38677f01a1bb7408398a791b7d8  CParser
    86594866  ed87d0f4c069cedaac5326e85a44aaecbda1e7c64be35589aa40df8fd1733d40  DSpec
     8929670  5dbe2eaba0555aebb9e6e63a749da3389acc60369bd7a572bf5bda8a431d6a4e  DSpecProofs
   213540738  5e006511ff9e1a855549c64b77ccce5669963dba32fa066458425b100bff759b  HOL
    24095321  7c8b7648f9432061e9c8be0bda557b5981953297f7b98e08af51b9d5ab78c6b8  Pure
    28191215  7709d3f5a4523a625afa2e3dd688b3f29e882f0929b184eba59b6f3b2faee95a  SepDSpec
    24352958  1f8c10bfe0b7daea76bd3e85c1b519023b7aa1907d67b1961e4b60fcfd107538  Simpl-VCG
    42775277  eca85a675844954e3d8be760fa72ae7080336e3e45f2604c411d31f0976fc715  Word_Lib

# total 1031989831 bytes across 10 heaps
